tag,graph,ratio,seed,test_auc_mean,test_auc_std,test_auc_pr_mean,test_auc_pr_std,test_prevalence_mean,test_prevalence_std,test_p_at_k_mean,test_p_at_k_std,f75_precision_mean,f75_precision_std,f75_recall_mean,f75_recall_std,f75_f1_mean,f75_f1_std,cal_precision_mean,cal_precision_std,cal_recall_mean,cal_recall_std,cal_f1_mean,cal_f1_std,cal_threshold_mean,cal_threshold_std
v0_leaky,leaky,20,0,0.6694240953221535,0.08992583147816786,0.20904767947825192,0.08393777191593817,0.0476147806792968,0.002122961547558619,0.24363636363636365,0.0862226387577151,0.20833333333333331,0.3315926773975923,0.06999999999999999,0.10593499054713801,0.1043956043956044,0.15977163727153398,0.27964285714285714,0.12562197237971717,0.1972727272727273,0.125679055442994,0.22613624937154347,0.12544231850048293,0.4040000000000001,0.05581716183715863
v0_leaky,leaky,20,1,0.699964695498676,0.11043388876327681,0.28785838949155607,0.14879031826743797,0.0476147806792968,0.002122961547558619,0.35181818181818175,0.17381634334009333,0.4025,0.4631489441253692,0.1,0.15634719199411434,0.1367676767676768,0.18008413652589178,0.34029526029526036,0.20973064470421737,0.22272727272727275,0.1968647739192684,0.2504882122633502,0.18436795630105834,0.4050000000000001,0.08436033823229179
v0_leaky,leaky,20,2,0.7123609885260371,0.0900922163396167,0.2973925770093713,0.1107603232498863,0.0476147806792968,0.002122961547558619,0.3236363636363636,0.11209663940393827,0.37,0.2700937194455854,0.1390909090909091,0.11775759135357591,0.19886446886446887,0.16008852884544073,0.3911904761904762,0.184310937119722,0.21545454545454543,0.11387248196452174,0.27231792717086833,0.13504525085681143,0.4240000000000001,0.07530677998102904
v0_leaky,leaky,20,3,0.7332568402471316,0.06202232700367435,0.2818016725104221,0.08283125208289463,0.0476147806792968,0.002122961547558619,0.3227272727272727,0.08837373679647083,0.5066666666666666,0.38226097994710817,0.13818181818181818,0.08536638478380125,0.2123809523809524,0.13227470899403174,0.3145931845931845,0.14159991940507347,0.25363636363636366,0.12788094210450343,0.27110656251960596,0.11504803250010784,0.4,0.13089435944047914
v0_leaky,leaky,20,4,0.7012842012356576,0.11278574429130034,0.2876653416288521,0.1330077221542799,0.0476147806792968,0.002122961547558619,0.3145454545454545,0.1697618923428558,0.45666666666666667,0.391593767841555,0.1390909090909091,0.15085005538707855,0.19654262404262401,0.18950686139693645,0.3306349206349206,0.22613468169185902,0.2272727272727273,0.1840269872810785,0.2633934099955772,0.19595417791669553,0.4090000000000001,0.10397114984456028
v0_leaky,leaky,50,0,0.6739117387466902,0.08919713504192626,0.16677130350523797,0.11710511807782567,0.019607097591888466,0.0009008460407130843,0.18727272727272726,0.1390773743992487,0.175,0.24984563135298732,0.0590909090909091,0.08389617090852805,0.08805860805860806,0.1248156158201542,0.23503219003219003,0.1901309476696222,0.17636363636363636,0.09341987329938276,0.1865139151839919,0.12403711351902323,0.31100000000000005,0.10535126429658495
v0_leaky,leaky,50,1,0.6576787290379523,0.08516596690995137,0.14966382200663414,0.11480488472626385,0.019607097591888466,0.0009008460407130843,0.15818181818181817,0.1585749208091931,0.3,0.35832256659104667,0.07,0.08232726023485647,0.10957375957375956,0.12505438349137155,0.1681081081081081,0.2308261339786961,0.1,0.11547005383792516,0.10853518821603927,0.1267374982852214,0.39000000000000007,0.13613718571108097
v0_leaky,leaky,50,2,0.6828402471315093,0.06695183286635288,0.20981674613105444,0.08796405334582105,0.019607097591888466,0.0009008460407130843,0.2627272727272727,0.09519686238472964,0.33166666666666667,0.41725513999452646,0.08,0.09189365834726815,0.12323676323676322,0.14082684198431425,0.33690476190476193,0.1559720695193329,0.21454545454545454,0.07846085979482306,0.2548329156223893,0.09101940970314967,0.35200000000000004,0.06860515043833566
v0_leaky,leaky,50,3,0.701964695498676,0.113467004617034,0.19841321463098005,0.1069937213279857,0.019607097591888466,0.0009008460407130843,0.22545454545454544,0.10677680264506782,0.41666666666666663,0.41013397389537226,0.0790909090909091,0.07867707826697748,0.12843822843822844,0.12322850185777702,0.2993722943722944,0.2503563516628112,0.1390909090909091,0.11775759135357591,0.1813014436543848,0.1510627125812361,0.4440000000000001,0.13108097582113978
v0_leaky,leaky,50,4,0.7025366284201235,0.10159579441345153,0.18014451364423997,0.09267164180498504,0.019607097591888466,0.0009008460407130843,0.20727272727272728,0.11140640283756034,0.3333333333333333,0.376796110173626,0.0790909090909091,0.09171861788563064,0.12692307692307694,0.14560676335480735,0.2797727272727273,0.18063661032948836,0.1572727272727273,0.10748395570790514,0.19488095238095235,0.12230471602767502,0.34600000000000003,0.04948624949305505
